NOG04000	2125829	1804621	1861399	2102157
NOG04001	2112021	1861410	2130628	1811683
NOG04002	2122876	2110447	1852776
NOG04003	2123818	1855715	2109887	1817878
NOG04004	1812166	1858362	2130215	2098110
NOG04005	1815855	2099374	2121040	1853315
NOG04006	2106976	1816474	2116222	1853302
NOG04007	1849202	2096550	1818295	2127592
NOG04008	2102498	2118759	1844322	1813918
NOG04009	1842726	2093964	1807601	2124886
NOG04010	2123051	2101391	1844571	1820048
NOG04011	1860635	1818476	2138243	2108481
NOG04012	2108729	2122725	1809997	1845515
NOG04013	2098119	1846796	1812239	2122884
NOG04014	2102651	1818710	1853566	2124211
NOG04015	1854555	2117892	1803998	2099932
NOG04016	1804602	1854961	2107159	2131935
NOG04017	1814387	1861777	2123369	2100286
NOG04018	2134894	2112124	1848900	1811884
NOG04019	2118223	2093059	1808265	1842317
NOG04020	2105342	1807092	1858237	2121724
NOG04021	2127231	1815784	1847222	2095904
NOG04022	2123350	1809377	1850846	2103693
NOG04023	2108412	1856890	1816936	2123094
NOG04024	2111831	1847800	1820319	2127778
NOG04025	2101796	2121380	1850048	1803465	2116126
NOG04026	1845685	2122455	1812700	2109576
NOG04027	1851320	2110373	2117847	1810116
NOG04028	2126644	2101437	1804254	1861415
NOG04029	2116069	2114088
